Date,Open,High,Low,Close,Volume
20231113,110.5,110.5,110.45,110.45,230
20231114,110.55,110.55,110.53,110.53,2052
20231115,113.48,113.48,113.46,113.46,23494
20231116,114.64,114.74,114.55,114.55,1529
20231117,114.7,114.7,114.7,114.7,1287
20231120,115.1,115.1,115.1,115.1,676
20231121,115.71,115.71,115.71,115.71,188
20231122,116,116,115.5,115.5,1491
20231123,115.5,115.5,115.5,115.5,0
20231124,115.5,115.5,115.5,115.5,0
20231127,115.5,115.5,115.5,115.5,0
20231128,116,116,116,116,172
20231129,116.11,116.11,116.11,116.11,1
20231130,116.9,117.01,116.9,117.01,370
20231201,117.87,117.87,117.87,117.87,382
20231204,119.2,119.21,119.08,119.08,245
20231205,119.32,119.32,119.32,119.32,562
20231206,119.23,119.23,119.23,119.23,167
20231207,118.89,118.89,118.89,118.89,6
20231208,119.41,119.41,119.41,119.41,84
20231211,120.14,120.14,120.02,120.02,217
20231212,121.27,121.27,121.27,121.27,250
20231213,121.27,121.27,121.27,121.27,0
20231214,121.27,121.27,121.27,121.27,0
20231215,126.02,126.02,126.02,126.02,82
20231218,126.02,126.02,126.02,126.02,0
20231219,125.88,125.88,125.85,125.85,241
20231220,125.85,125.85,125.85,125.85,0
20231221,125.85,125.85,125.85,125.85,0
20231222,125.85,125.85,125.85,125.85,0
20231227,127.65,127.65,126.91,126.91,121
20231228,126.91,126.91,126.91,126.91,0
20231229,127.51,127.51,127.51,127.51,1
20240102,127.04,127.04,126.95,126.95,22
20240103,126.95,126.95,126.95,126.95,0
20240104,124.91,124.91,124.91,124.91,200
20240105,124.91,124.91,124.91,124.91,0
20240108,124.91,124.91,124.91,124.91,0
20240109,124.91,124.91,124.91,124.91,0
20240110,125.27,125.27,125.27,125.27,186
20240111,125.43,125.43,125.43,125.43,2
20240112,125.43,125.43,125.43,125.43,0
20240115,125.43,125.43,125.43,125.43,0
20240116,125.5,125.5,124.8,124.8,725
20240117,124,124.16,124,124,522
20240118,124,124,124,124,0
20240119,124.03,124.03,123.96,123.96,867
20240122,125.52,125.71,125.35,125.35,1149
20240123,125.35,125.35,125.35,125.35,0
20240124,125.81,125.81,125.81,125.81,1200
20240125,124.86,124.9,124.75,124.8,3276
20240129,124.8,124.8,124.8,124.8,0
20240130,126.75,127.14,126.75,126.95,5311
20240131,126.95,126.95,126.78,126.8,282
20240201,124.4,124.53,124.4,124.53,322
20240202,125.92,126.05,125.92,126.04,1500
20240205,125.5,125.5,125.5,125.5,200
20240206,124.7,124.7,124.7,124.7,500
20240207,125.7,125.7,125.65,125.65,420
20240208,125.65,125.65,125.65,125.65,0
20240209,125.65,125.65,125.65,125.65,0
20240212,126.75,127.1,126.75,127.1,484
20240213,127.9,127.97,127.9,127.97,1425
20240214,127.97,127.97,126,126.1,202
20240215,126.9,126.9,126.9,126.9,800
20240216,126.9,126.9,126.9,126.9,0
20240219,127.84,127.84,127.6,127.6,1000
20240220,127.35,127.35,127.16,127.16,451
20240221,126.56,126.56,126.56,126.56,395
20240222,127.44,127.62,127.37,127.55,4261
20240223,128.2,128.2,128.2,128.2,500
20240226,128.2,128.2,128.2,128.2,0
20240227,127.98,127.98,127.85,127.85,665
20240228,128.41,128.41,128.4,128.4,523
20240229,128.4,128.4,128.4,128.4,0
20240301,128.75,129.1,128.75,129.1,673
20240304,129.1,129.1,129.1,129.1,0
20240305,129.36,129.36,129.36,129.36,214
20240306,128.5,128.56,127.72,128.56,3465
20240307,128.56,128.56,128.56,128.56,0
20240308,130.22,130.22,130.18,130.18,1500
20240311,130.18,130.18,130.18,130.18,0
20240312,131.57,131.57,131.19,131.25,2379
20240313,131.3,131.38,131.11,131.36,1607
20240314,131,131.16,131,131.16,3436
20240315,129.98,129.98,129.98,129.98,100
20240318,129.72,129.76,129.52,129.76,4828
20240319,130.11,130.15,130.11,130.13,273
20240320,130.61,130.61,130.49,130.49,289
20240321,130.49,130.49,130.49,130.49,0
20240322,132.03,132.03,132.03,132.03,9
20240325,131.32,131.36,131.32,131.36,3598
20240326,131.01,131.01,131,131,1372
20240327,131,131,131,131,0
20240328,132.66,132.66,132.6,132.66,231
20240402,132.14,132.35,131.94,131.94,897
20240403,131.99,131.99,131.03,131.03,337
20240404,131.03,131.03,131.03,131.03,0
20240405,129.24,129.51,129.24,129.51,1160
20240408,129.79,129.79,129.79,129.79,502
20240409,129.79,129.79,129.79,129.79,0
20240410,131.6,131.71,131.6,131.71,172
20240411,128.79,128.84,128.76,128.84,286
20240412,129.11,129.11,128.81,128.92,89
20240415,127.13,127.17,127.13,127.13,631
20240416,126.56,126.56,125.05,125.05,1515
20240417,125.16,125.24,124.95,124.95,128
20240418,124.54,124.54,124.3,124.43,2678
20240419,123.93,123.93,123,123.04,82
20240422,125.14,125.2,125.14,125.2,548
20240423,125.85,125.85,125.85,125.85,208
20240424,125.85,125.85,125.85,125.85,0
20240426,126.58,126.86,126.58,126.86,125
20240429,127.59,127.59,127.59,127.59,129
20240430,128.04,128.04,127.97,127.97,302
20240501,126.72,126.72,126.72,126.72,166
20240502,126.71,126.71,126.4,126.4,102
20240503,126.4,126.4,126.4,126.4,0
20240506,126.4,126.4,126.4,126.4,0
20240507,128.7,128.7,128.69,128.69,110
20240508,128.97,129,128.97,128.98,965
20240509,129.28,129.28,129.18,129.18,899
20240510,130.43,130.49,130.43,130.49,300
20240513,130.49,130.49,130.49,130.49,0
20240514,130.91,130.91,130.91,130.91,52
20240515,131.68,131.76,131.64,131.64,870
20240516,132.92,132.92,132.92,132.92,47
20240517,132.6,132.61,132.58,132.58,1260
20240520,131.25,132.88,131.25,132.88,1524
20240521,132.88,132.88,132.66,132.75,3190
20240522,132.75,132.75,132.75,132.75,0
20240523,132.2,132.63,132.2,132.63,76
20240524,130.43,130.43,130.43,130.43,36
20240527,130.15,130.31,130.15,130.3,565
20240528,130.36,130.37,130.36,130.37,122
20240529,130.2,130.2,130.2,130.2,30
20240530,126.75,126.75,126.49,126.49,477
20240531,126.41,126.69,126.41,126.69,116
20240603,128.89,128.89,128.67,128.88,427
20240604,128.88,128.88,128.88,128.88,0
20240605,128.5,128.5,127.93,128.19,234
20240606,129.19,129.19,129.19,129.19,120
20240607,129.04,129.04,129.04,129.04,14
20240611,128.25,128.48,127.72,128.48,155
20240612,128.48,128.48,128.48,128.48,0
20240613,128.48,128.48,128.48,128.48,0
20240614,127.18,127.36,127.18,127.35,379
20240617,126.8,126.8,126.8,126.8,11
20240618,127.58,127.58,127.15,127.15,321
20240619,127.15,127.15,127.15,127.15,0
20240620,127.12,127.56,127.12,127.56,2
20240621,127.56,127.56,127.56,127.56,0
20240624,128.53,128.53,128.25,128.25,2298
20240625,129.64,129.64,129.3,129.3,362
20240626,129.3,129.3,129.3,129.3,0
20240627,128.41,128.51,128.41,128.51,127
20240628,128.51,128.51,128.51,128.51,0
20240701,128.51,128.51,128.51,128.51,0
20240702,126,126,126,126,71
20240703,126.89,126.89,126.51,126.51,1787
20240704,126.82,126.86,126.82,126.86,509
20240705,126.88,126.88,126.58,126.58,184
20240708,126.65,127.08,126.61,127.04,2661
20240709,126.73,127.06,126.72,127.05,1015
20240710,126.76,126.76,126.37,126.37,1197
20240711,126.75,127.13,126.75,127.12,1298
20240712,128.67,128.78,128.64,128.77,1219
20240715,129.81,129.94,129.8,129.94,1926
20240716,129.96,129.96,129.59,129.69,3720
20240717,131.25,131.95,131.25,131.43,1330
20240718,132.02,132.02,131.81,131.91,630
20240719,131.78,131.78,130.16,130.25,1278
20240722,129.87,129.87,129.53,129.75,4064
20240723,130.6,130.61,130.48,130.48,3772
20240724,130.22,130.28,130.2,130.28,124
20240725,129.42,129.42,129.42,129.42,209
20240726,131.39,131.62,131.39,131.58,633
20240729,133.77,133.78,133.68,133.68,1133
20240730,133.27,133.46,132.93,133.44,818
20240731,134.2,134.45,134.2,134.45,2447
20240801,134.37,134.63,134.26,134.47,3147
20240802,132.59,132.59,132.1,132.13,360
20240805,130.08,131.22,130.08,131.2,17787
20240806,128.79,129.8,128.68,129.28,2299
20240807,129.4,131.38,129.4,131.3,8913
20240808,130.5,130.5,128.66,129.06,69227
20240809,130.79,130.9,130.6,130.84,29965
20240812,131.03,131.04,131.03,131.04,439
20240813,130.62,130.84,130.29,130.83,132
20240814,132.88,132.88,132.86,132.88,116
20240815,133.64,133.65,133.64,133.64,199
20240816,135.15,135.53,135.13,135.53,1984
20240819,135.64,135.68,135.39,135.39,350
20240820,136.19,136.23,136.01,136.01,91
20240821,136.15,136.28,136.15,136.25,565
20240822,136.95,136.95,136.88,136.88,43
20240823,136.69,136.94,136.69,136.94,1030
20240826,138.12,138.12,137.69,137.69,36670
20240827,138.16,138.16,138.13,138.13,461
20240828,138.44,138.44,138.44,138.44,144
20240829,138.7,138.78,138.7,138.78,430
20240830,139.4,139.42,139.36,139.42,749
20240902,139.83,139.89,139.74,139.74,211
20240903,139.71,139.71,139.71,139.71,55
20240904,138.2,138.21,138.2,138.21,609
20240905,138.22,138.22,138.19,138.19,878
20240906,138,138,137.6,137.6,288
20240909,136.77,136.84,136.77,136.84,648
20240910,137.49,137.5,137.27,137.27,1919
20240911,137.45,137.45,137.26,137.26,20
20240912,137.9,138.03,137.55,138.02,135
20240913,137.7,137.76,137.7,137.76,263
20240916,139.1,139.1,138.73,139.02,922
20240917,138.95,138.95,138.56,138.83,1852
20240918,138.9,139.01,138.83,138.83,1598
20240919,139.25,139.75,139.25,139.75,241
20240920,140.12,140.16,140.04,140.16,97
20240923,140.16,140.16,140.16,140.16,0
20240924,140.25,140.57,139.49,139.67,410
20240925,140.55,140.63,140.5,140.5,4319
20240926,139.5,139.8,139.5,139.8,1119
20240927,139.86,141.32,139.86,141.32,259
20240930,142.12,142.12,142.12,142.12,210
20241001,142,142,142,142,70
20241002,142,142,142,142,0
20241003,140.51,140.51,140.51,140.51,27
20241004,140.35,140.35,139.61,139.61,375
20241007,140.6,140.6,140.51,140.51,353
20241008,140.51,140.51,140.51,140.51,0
20241009,139.96,139.96,139.76,139.76,321
20241010,139.76,139.76,139.76,139.76,0
20241011,139.76,139.76,139.76,139.76,0
20241014,141.55,141.55,141.31,141.31,227
20241015,142.73,142.74,142.73,142.74,33
20241016,142.74,142.74,142.74,142.74,0
20241017,142.69,142.69,142.67,142.68,530
20241018,142.59,142.7,142.59,142.7,3454
20241021,142.7,143.18,142.7,143.16,643
20241022,142,142,141.66,141.66,388
20241023,141.66,141.66,141.66,141.66,0
20241024,141.66,141.66,141.66,141.66,0
20241025,140.71,140.71,140.71,140.71,10
20241028,140.72,140.72,139.91,139.91,1158
20241029,139.91,139.91,139.91,139.91,0
20241030,139.91,139.91,139.91,139.91,0
20241031,140.32,140.32,140.32,140.32,19
20241101,140.32,140.32,140.32,140.32,0
20241104,140.32,140.32,140.32,140.32,0
20241105,138.93,138.93,138.93,138.93,286
20241106,140.66,140.98,140.66,140.98,26
20241107,141.72,141.72,141.24,141.33,1154
20241108,142,142,141.91,141.91,957
20241111,142.58,142.58,142.58,142.58,140
20241112,143.3,143.3,143.3,143.3,410
20241113,142.23,142.23,142.17,142.17,340
20241114,142.84,143.01,142.22,142.22,1069
20241115,141.18,141.18,140.83,140.86,243
20241118,138.66,138.71,138.53,138.66,784
20241119,139.26,139.35,139.15,139.35,1487
20241120,139.51,139.51,139.24,139.38,818
20241121,139.85,139.85,139.44,139.48,1422
20241122,141.07,141.09,140.89,141.09,699
20241125,143,143.58,143,143.43,5377
20241126,143.81,144.33,143.74,144.23,1100
20241127,144,144,143.58,143.73,522
20241128,143.65,143.89,143.65,143.89,81
20241129,143.92,144.14,143.77,144.14,1761
20241202,143.97,143.99,143.68,143.89,957
20241203,144.34,144.4,144.13,144.38,1947
20241204,143.53,143.66,143.37,143.66,2702
20241205,144.2,144.2,143.95,144.16,611
20241206,144.12,144.12,143.31,143.44,479
20241209,143.8,143.96,143.79,143.8,465
20241210,143.92,144.21,143.92,144.21,1815
20241211,143.65,143.65,143.6,143.6,430
20241212,143.3,143.3,142.96,143.09,332
20241213,142.89,142.89,142.73,142.82,1041
20241216,142.3,142.3,142.15,142.28,1663
20241217,142.23,142.27,142.23,142.27,562
20241218,141.53,142.06,141.53,142.06,637
20241219,141.51,141.51,137.24,137.25,1999
20241220,136.88,136.88,136.02,136.13,1407
20241223,138.725,138.83,138.48,138.55,3263
20241224,137.88,137.89,137.78,137.79,182
20241227,139.15,139.15,138.72,139,145
20241230,138.12,138.17,137.87,138.07,1790
20241231,136.64,136.64,136.64,136.64,146
20250102,136.86,137.11,136.86,137.11,465
20250103,137.11,137.11,137.11,137.11,0
20250106,136.56,136.56,136.15,136.19,638
20250107,137.12,137.12,136.73,136.81,186
20250108,136.7,136.7,136.52,136.7,211
20250109,136.14,136.38,136.03,136.15,770
20250110,136.25,136.25,135.6,136.08,1750
20250113,134.28,134.28,133.37,133.49,674
20250114,136.01,136.01,135.61,135.87,1291
20250115,136.13,137.49,135.94,135.95,1232
20250116,137.04,137.08,137.04,137.08,309
20250117,137.86,138.09,137.78,138.09,1066
